RegionName,RegionType,State,City,CountyName,3/31/20
07083,Zip,NJ,Union,Union County,362323
07036,Zip,NJ,Linden,Union County,311037
07060,Zip,NJ,Plainfield,Union County,299761
07202,Zip,NJ,Elizabeth,Union County,281318
07065,Zip,NJ,Rahway,Union County,317059
07208,Zip,NJ,Elizabeth,Union County,341434
07090,Zip,NJ,Westfield,Union County,742817
07076,Zip,NJ,Scotch Plains,Union County,513355
07016,Zip,NJ,Cranford,Union County,517142
07901,Zip,NJ,Summit,Union County,858275
07201,Zip,NJ,Elizabeth,Union County,271171
07203,Zip,NJ,Roselle,Union County,284227
07206,Zip,NJ,Elizabeth,Union County,253298
07205,Zip,NJ,Hillside,Union County,303459
07081,Zip,NJ,Springfield,Union County,455190
07066,Zip,NJ,Clark,Union County,459607
07204,Zip,NJ,Roselle Park,Union County,326917
07062,Zip,NJ,Plainfield,Union County,296946
07974,Zip,NJ,New Providence,Union County,625257
07922,Zip,NJ,Berkeley Heights,Union County,581746
07063,Zip,NJ,Plainfield,Union County,280974
07033,Zip,NJ,Kenilworth,Union County,446286
07023,Zip,NJ,Fanwood,Union County,477659
07092,Zip,NJ,Mountainside,Union County,598895
07027,Zip,NJ,Garwood,Union County,402907
07088,Zip,NJ,Union,Union County,283429